movie_title;date_top10;viewership;release_netflix;release_theater;box_office_performance;meta_rating;unique_id;holdback_months
Mean Girls;05-07-2022;19;01-07-2022;30-04-2004;86058055;66;tt0377092;219
Leave No Trace;06-07-2022;7;05-07-2022;29-06-2018;6046104;88;tt3892172;49
Big Daddy;08-07-2022;4;01-10-2020;25-06-1999;163479795;41;tt0142342;256
12 Strong;11-07-2022;22;10-07-2022;19-01-2018;45819713;54;tt1413492;54
CHiPS;14-07-2022;18;14-07-2022;24-03-2017;18600152;28;tt0493405;64
Umma;24-07-2022;4;16-07-2022;18-03-2022;2121025;51;tt13235822;4
The Wretched;01-08-2022;4;21-07-2022;01-05-2020;1814193;61;tt8305806;26
Spider-Man 2;02-08-2022;4;21-07-2022;30-06-2004;373585825;83;tt0316654;217
Men in Black 3;02-08-2022;6;21-07-2022;25-05-2012;179020854;58;tt1409024;122
Tower Heist;02-08-2022;8;14-06-2022;04-11-2011;78046570;59;tt0471042;127
The Age of Adaline;02-08-2022;13;01-08-2022;24-04-2015;42629776;51;tt1655441;88
The 15:17 to Paris;04-08-2022;3;01-08-2022;09-02-2018;36276286;45;tt6802308;54
Men in Black;05-08-2022;2;21-07-2022;02-07-1997;250690539;71;tt0119654;300
Flight;08-08-2022;11;02-08-2022;02-11-2012;93772375;76;tt1907668;117
The Nice Guys;10-08-2022;8;09-08-2022;20-05-2016;36261763;70;tt3799694;75
Endless Love;18-08-2022;3;01-10-2021;14-02-2014;23438250;30;tt2318092;92
Snow White & the Huntsman;02-09-2022;6;14-06-2022;01-06-2012;155332381;57;tt1735898;120
Resident Evil: Retribution;02-09-2022;2;01-09-2022;14-09-2012;42345531;39;tt1855325;120
Morbius;08-09-2022;16;07-09-2022;01-04-2022;73865530;35;tt5108870;5
Next Friday;10-09-2022;7;01-09-2022;12-01-2000;57328603;41;tt0195945;272
Friday;10-09-2022;10;01-09-2022;28-04-1995;27467564;54;tt0113118;329
Save the Last Dance;11-09-2022;1;01-09-2022;12-01-2001;91057006;53;tt0206275;260
This Is the End;17-09-2022;10;16-09-2022;12-06-2013;101470202;67;tt1245492;111
Father Stu;18-09-2022;15;16-09-2022;13-04-2022;20884796;40;;5
The Mortal Instruments: City of Bones;21-09-2022;7;16-02-2022;21-08-2013;31165421;33;tt1538403;102
Human Capital;26-09-2022;3;22-09-2022;17-07-2020;6596;51;tt9185066;26
Elysium;28-09-2022;5;08-02-2022;08-08-2013;93050117;61;tt1535108;102
Rush Hour;02-10-2022;8;17-08-2022;18-09-1998;141186864;60;tt0120812;287
Rush Hour 3;04-10-2022;1;17-08-2022;10-08-2007;140125968;44;tt0293564;180
Robin Hood;04-10-2022;5;15-08-2022;14-05-2010;105269730;53;tt0955308;147
Rush Hour 2;05-10-2022;4;17-08-2022;03-08-2001;226164286;48;tt0266915;252
Land of the Lost;05-10-2022;3;19-08-2022;05-06-2009;49438370;32;tt0457400;158
Walking Tall;05-10-2022;2;02-10-2022;02-04-2004;46437717;44;tt0351977;222
Jexi;07-10-2022;6;03-10-2022;11-10-2019;6546159;39;tt9354944;35
Megamind;09-10-2022;18;14-06-2022;05-11-2010;148415853;63;tt1001526;139
